date,Australia,Population Density,Median age,Lockdown status,Days
31-12-2019,0,3.3,37.9,0,0
01-01-2020,0,3.3,37.9,0,0
02-01-2020,0,3.3,37.9,0,0
03-01-2020,0,3.3,37.9,0,0
04-01-2020,0,3.3,37.9,0,0
05-01-2020,0,3.3,37.9,0,0
06-01-2020,0,3.3,37.9,0,0
07-01-2020,0,3.3,37.9,0,0
08-01-2020,0,3.3,37.9,0,0
09-01-2020,0,3.3,37.9,0,0
10-01-2020,0,3.3,37.9,0,0
11-01-2020,0,3.3,37.9,0,0
12-01-2020,0,3.3,37.9,0,0
13-01-2020,0,3.3,37.9,0,0
14-01-2020,0,3.3,37.9,0,0
15-01-2020,0,3.3,37.9,0,0
16-01-2020,0,3.3,37.9,0,0
17-01-2020,0,3.3,37.9,0,0
18-01-2020,0,3.3,37.9,0,0
19-01-2020,0,3.3,37.9,0,0
20-01-2020,0,3.3,37.9,0,0
21-01-2020,0,3.3,37.9,0,0
22-01-2020,0,3.3,37.9,0,0
23-01-2020,0,3.3,37.9,0,0
24-01-2020,0,3.3,37.9,0,0
25-01-2020,1,3.3,37.9,0,0
26-01-2020,3,3.3,37.9,0,0
27-01-2020,0,3.3,37.9,0,0
28-01-2020,0,3.3,37.9,0,0
29-01-2020,0,3.3,37.9,0,0
30-01-2020,2,3.3,37.9,0,0
31-01-2020,1,3.3,37.9,0,0
01-02-2020,2,3.3,37.9,0,0
02-02-2020,2,3.3,37.9,0,0
03-02-2020,0,3.3,37.9,0,0
04-02-2020,0,3.3,37.9,0,0
05-02-2020,1,3.3,37.9,0,0
06-02-2020,1,3.3,37.9,0,0
07-02-2020,1,3.3,37.9,0,0
08-02-2020,0,3.3,37.9,0,0
09-02-2020,0,3.3,37.9,0,0
10-02-2020,0,3.3,37.9,0,0
11-02-2020,0,3.3,37.9,0,0
12-02-2020,0,3.3,37.9,0,0
13-02-2020,0,3.3,37.9,0,0
14-02-2020,1,3.3,37.9,0,0
15-02-2020,0,3.3,37.9,0,0
16-02-2020,0,3.3,37.9,0,0
17-02-2020,0,3.3,37.9,0,0
18-02-2020,0,3.3,37.9,0,0
19-02-2020,0,3.3,37.9,0,0
20-02-2020,0,3.3,37.9,0,0
21-02-2020,2,3.3,37.9,0,0
22-02-2020,4,3.3,37.9,0,0
23-02-2020,1,3.3,37.9,0,0
24-02-2020,0,3.3,37.9,0,0
25-02-2020,0,3.3,37.9,0,0
26-02-2020,0,3.3,37.9,0,0
27-02-2020,1,3.3,37.9,0,0
28-02-2020,0,3.3,37.9,0,0
29-02-2020,2,3.3,37.9,0,0
01-03-2020,1,3.3,37.9,0,0
02-03-2020,3,3.3,37.9,0,0
03-03-2020,4,3.3,37.9,0,0
04-03-2020,8,3.3,37.9,0,0
05-03-2020,11,3.3,37.9,0,0
06-03-2020,7,3.3,37.9,0,0
07-03-2020,4,3.3,37.9,0,0
08-03-2020,11,3.3,37.9,0,0
09-03-2020,6,3.3,37.9,0,0
10-03-2020,20,3.3,37.9,0,0
11-03-2020,12,3.3,37.9,0,0
12-03-2020,14,3.3,37.9,0,0
13-03-2020,30,3.3,37.9,0,0
14-03-2020,41,3.3,37.9,0,0
15-03-2020,52,3.3,37.9,0,0
16-03-2020,49,3.3,37.9,0,0
17-03-2020,77,3.3,37.9,0,0
18-03-2020,79,3.3,37.9,0,0
19-03-2020,111,3.3,37.9,0,0
20-03-2020,144,3.3,37.9,0,0
21-03-2020,165,3.3,37.9,0,0
22-03-2020,224,3.3,37.9,0,0
23-03-2020,611,3.3,37.9,0,0
24-03-2020,114,3.3,37.9,1,1
25-03-2020,600,3.3,37.9,1,2
26-03-2020,376,3.3,37.9,1,3
27-03-2020,367,3.3,37.9,1,4
28-03-2020,212,3.3,37.9,1,5
29-03-2020,431,3.3,37.9,1,6
30-03-2020,284,3.3,37.9,1,7
31-03-2020,464,3.3,37.9,1,8
01-04-2020,150,3.3,37.9,1,9
02-04-2020,269,3.3,37.9,1,10
03-04-2020,248,3.3,37.9,1,11
04-04-2020,324,3.3,37.9,1,12
05-04-2020,139,3.3,37.9,1,13
06-04-2020,57,3.3,37.9,1,14
07-04-2020,100,3.3,37.9,1,15
08-04-2020,112,3.3,37.9,1,16
09-04-2020,96,3.3,37.9,1,17
10-04-2020,100,3.3,37.9,1,18
11-04-2020,86,3.3,37.9,1,19
12-04-2020,51,3.3,37.9,1,20
13-04-2020,33,3.3,37.9,1,21
14-04-2020,44,3.3,37.9,1,22
15-04-2020,50,3.3,37.9,1,23
16-04-2020,42,3.3,37.9,1,24
17-04-2020,39,3.3,37.9,1,25
18-04-2020,36,3.3,37.9,1,26
19-04-2020,53,3.3,37.9,1,27
20-04-2020,26,3.3,37.9,1,28
21-04-2020,13,3.3,37.9,1,29
22-04-2020,22,3.3,37.9,1,30
23-04-2020,7,3.3,37.9,1,31
24-04-2020,13,3.3,37.9,1,32
25-04-2020,20,3.3,37.9,1,33
26-04-2020,16,3.3,37.9,1,34
27-04-2020,10,3.3,37.9,1,35
