date,India,Pop,Median age,Lock down status,
31-12-2019,0,464,26.8,0,0
01-01-2020,0,464,26.8,0,0
02-01-2020,0,464,26.8,0,0
03-01-2020,0,464,26.8,0,0
04-01-2020,0,464,26.8,0,0
05-01-2020,0,464,26.8,0,0
06-01-2020,0,464,26.8,0,0
07-01-2020,0,464,26.8,0,0
08-01-2020,0,464,26.8,0,0
09-01-2020,0,464,26.8,0,0
10-01-2020,0,464,26.8,0,0
11-01-2020,0,464,26.8,0,0
12-01-2020,0,464,26.8,0,0
13-01-2020,0,464,26.8,0,0
14-01-2020,0,464,26.8,0,0
15-01-2020,0,464,26.8,0,0
16-01-2020,0,464,26.8,0,0
17-01-2020,0,464,26.8,0,0
18-01-2020,0,464,26.8,0,0
19-01-2020,0,464,26.8,0,0
20-01-2020,0,464,26.8,0,0
21-01-2020,0,464,26.8,0,0
22-01-2020,0,464,26.8,0,0
23-01-2020,0,464,26.8,0,0
24-01-2020,0,464,26.8,0,0
25-01-2020,0,464,26.8,0,0
26-01-2020,0,464,26.8,0,0
27-01-2020,0,464,26.8,0,0
28-01-2020,0,464,26.8,0,0
29-01-2020,0,464,26.8,0,0
30-01-2020,1,464,26.8,0,0
31-01-2020,0,464,26.8,0,0
01-02-2020,0,464,26.8,0,0
02-02-2020,1,464,26.8,0,0
03-02-2020,0,464,26.8,0,0
04-02-2020,1,464,26.8,0,0
05-02-2020,0,464,26.8,0,0
06-02-2020,0,464,26.8,0,0
07-02-2020,0,464,26.8,0,0
08-02-2020,0,464,26.8,0,0
09-02-2020,0,464,26.8,0,0
10-02-2020,0,464,26.8,0,0
11-02-2020,0,464,26.8,0,0
12-02-2020,0,464,26.8,0,0
13-02-2020,0,464,26.8,0,0
14-02-2020,0,464,26.8,0,0
15-02-2020,0,464,26.8,0,0
16-02-2020,0,464,26.8,0,0
17-02-2020,0,464,26.8,0,0
18-02-2020,0,464,26.8,0,0
19-02-2020,0,464,26.8,0,0
20-02-2020,0,464,26.8,0,0
21-02-2020,0,464,26.8,0,0
22-02-2020,0,464,26.8,0,0
23-02-2020,0,464,26.8,0,0
24-02-2020,0,464,26.8,0,0
25-02-2020,0,464,26.8,0,0
26-02-2020,0,464,26.8,0,0
27-02-2020,0,464,26.8,0,0
28-02-2020,0,464,26.8,0,0
29-02-2020,0,464,26.8,0,0
01-03-2020,0,464,26.8,0,0
02-03-2020,0,464,26.8,0,0
03-03-2020,2,464,26.8,0,0
04-03-2020,1,464,26.8,0,0
05-03-2020,22,464,26.8,0,0
06-03-2020,1,464,26.8,0,0
07-03-2020,2,464,26.8,0,0
08-03-2020,3,464,26.8,0,0
09-03-2020,,464,26.8,0,0
10-03-2020,10,464,26.8,0,0
11-03-2020,6,464,26.8,0,0
12-03-2020,23,464,26.8,0,0
13-03-2020,2,464,26.8,0,0
14-03-2020,8,464,26.8,0,0
15-03-2020,7,464,26.8,0,0
16-03-2020,3,464,26.8,0,0
17-03-2020,32,464,26.8,0,0
18-03-2020,12,464,26.8,0,0
19-03-2020,28,464,26.8,0,0
20-03-2020,26,464,26.8,0,0
21-03-2020,40,464,26.8,1,1
22-03-2020,89,464,26.8,1,2
23-03-2020,119,464,26.8,1,3
24-03-2020,53,464,26.8,1,4
25-03-2020,70,464,26.8,1,5
26-03-2020,87,464,26.8,1,6
27-03-2020,75,464,26.8,1,7
28-03-2020,149,464,26.8,1,8
29-03-2020,106,464,26.8,1,9
30-03-2020,92,464,26.8,1,10
31-03-2020,180,464,26.8,1,11
01-04-2020,146,464,26.8,1,12
02-04-2020,568,464,26.8,1,13
03-04-2020,336,464,26.8,1,14
04-04-2020,601,464,26.8,1,15
05-04-2020,472,464,26.8,1,16
06-04-2020,693,464,26.8,1,17
07-04-2020,354,464,26.8,1,18
08-04-2020,773,464,26.8,1,19
09-04-2020,540,464,26.8,1,20
10-04-2020,678,464,26.8,1,21
11-04-2020,1035,464,26.8,1,22
12-04-2020,909,464,26.8,1,23
13-04-2020,796,464,26.8,1,24
14-04-2020,1211,464,26.8,1,25
15-04-2020,1075,464,26.8,1,26
16-04-2020,942,464,26.8,1,27
17-04-2020,1007,464,26.8,1,28
18-04-2020,991,464,26.8,1,29
19-04-2020,1334,464,26.8,1,30
20-04-2020,1553,464,26.8,1,31
21-04-2020,1335,464,26.8,1,32
22-04-2020,1384,464,26.8,1,33
23-04-2020,1409,464,26.8,1,34
24-04-2020,1684,464,26.8,1,35
25-04-2020,1429,464,26.8,1,36
26-04-2020,1990,464,26.8,1,37
27-04-2020,1396,464,26.8,1,38
28-04-2020,1543,464,26.8,1,39
29-04-2020,1897,464,26.8,1,40
30-04-2020,1718,464,26.8,1,41
01-05-2020,1993,464,26.8,1,42
02-05-2020,2293,464,26.8,1,43
03-05-2020,2644,464,26.8,1,44
04-05-2020,2553,464,26.8,1,45
05-05-2020,3900,464,26.8,1,46
