date,China,Population density,median age,Lockdown status,Lockdown days
31-12-2019,27,153,38.4,0,0
01-01-2020,0,153,38.4,0,0
02-01-2020,0,153,38.4,0,0
03-01-2020,17,153,38.4,0,0
04-01-2020,0,153,38.4,0,0
05-01-2020,15,153,38.4,0,0
06-01-2020,0,153,38.4,0,0
07-01-2020,0,153,38.4,0,0
08-01-2020,0,153,38.4,0,0
09-01-2020,0,153,38.4,0,0
10-01-2020,0,153,38.4,0,0
11-01-2020,0,153,38.4,0,0
12-01-2020,0,153,38.4,0,0
13-01-2020,0,153,38.4,0,0
14-01-2020,0,153,38.4,0,0
15-01-2020,0,153,38.4,0,0
16-01-2020,0,153,38.4,0,0
17-01-2020,4,153,38.4,0,0
18-01-2020,17,153,38.4,0,0
19-01-2020,136,153,38.4,0,0
20-01-2020,19,153,38.4,0,0
21-01-2020,151,153,38.4,0,0
22-01-2020,140,153,38.4,0,0
23-01-2020,97,153,38.4,0,0
24-01-2020,259,153,38.4,1,1
25-01-2020,441,153,38.4,1,2
26-01-2020,665,153,38.4,1,3
27-01-2020,787,153,38.4,1,4
28-01-2020,1753,153,38.4,1,5
29-01-2020,1466,153,38.4,1,6
30-01-2020,1740,153,38.4,1,7
31-01-2020,1980,153,38.4,1,8
01-02-2020,2095,153,38.4,1,9
02-02-2020,2590,153,38.4,1,10
03-02-2020,2812,153,38.4,1,11
04-02-2020,3237,153,38.4,1,12
05-02-2020,3872,153,38.4,1,13
06-02-2020,3727,153,38.4,1,14
07-02-2020,3160,153,38.4,1,15
08-02-2020,3418,153,38.4,1,16
09-02-2020,2607,153,38.4,1,17
10-02-2020,2974,153,38.4,1,18
11-02-2020,2490,153,38.4,1,19
12-02-2020,2028,153,38.4,1,20
13-02-2020,15141,153,38.4,1,21
14-02-2020,4156,153,38.4,1,22
15-02-2020,2538,153,38.4,1,23
16-02-2020,2007,153,38.4,1,24
17-02-2020,2052,153,38.4,1,25
18-02-2020,1890,153,38.4,1,26
19-02-2020,1750,153,38.4,1,27
20-02-2020,394,153,38.4,1,28
21-02-2020,891,153,38.4,1,29
22-02-2020,826,153,38.4,1,30
23-02-2020,647,153,38.4,1,31
24-02-2020,218,153,38.4,1,32
25-02-2020,515,153,38.4,1,33
26-02-2020,410,153,38.4,1,34
27-02-2020,439,153,38.4,1,35
28-02-2020,329,153,38.4,1,36
29-02-2020,428,153,38.4,1,37
01-03-2020,574,153,38.4,1,38
02-03-2020,205,153,38.4,1,39
03-03-2020,127,153,38.4,1,40
04-03-2020,119,153,38.4,1,41
05-03-2020,117,153,38.4,1,42
06-03-2020,170,153,38.4,1,43
07-03-2020,101,153,38.4,1,44
08-03-2020,46,153,38.4,1,45
09-03-2020,45,153,38.4,1,46
10-03-2020,20,153,38.4,1,47
11-03-2020,29,153,38.4,1,48
12-03-2020,24,153,38.4,1,49
13-03-2020,22,153,38.4,1,50
14-03-2020,19,153,38.4,1,51
15-03-2020,22,153,38.4,1,52
16-03-2020,25,153,38.4,1,53
17-03-2020,43,153,38.4,1,54
18-03-2020,23,153,38.4,1,55
19-03-2020,44,153,38.4,1,56
20-03-2020,99,153,38.4,1,57
21-03-2020,52,153,38.4,1,58
22-03-2020,65,153,38.4,1,59
23-03-2020,138,153,38.4,1,60
24-03-2020,69,153,38.4,1,61
25-03-2020,78,153,38.4,1,62
26-03-2020,102,153,38.4,1,63
27-03-2020,94,153,38.4,1,64
28-03-2020,119,153,38.4,1,65
29-03-2020,113,153,38.4,1,66
30-03-2020,98,153,38.4,1,67
31-03-2020,84,153,38.4,1,68
01-04-2020,54,153,38.4,1,69
02-04-2020,100,153,38.4,1,70
03-04-2020,70,153,38.4,1,71
04-04-2020,62,153,38.4,1,72
05-04-2020,48,153,38.4,1,73
06-04-2020,67,153,38.4,1,74
07-04-2020,56,153,38.4,1,75
08-04-2020,86,153,38.4,1,76
09-04-2020,86,153,38.4,1,77
10-04-2020,55,153,38.4,1,78
11-04-2020,79,153,38.4,1,79
12-04-2020,93,153,38.4,1,80
13-04-2020,112,153,38.4,1,81
14-04-2020,94,153,38.4,1,82
15-04-2020,49,153,38.4,1,83
16-04-2020,50,153,38.4,1,84
17-04-2020,352,153,38.4,1,85
18-04-2020,31,153,38.4,1,86
19-04-2020,18,153,38.4,1,87
20-04-2020,14,153,38.4,1,88
21-04-2020,32,153,38.4,1,89
22-04-2020,15,153,38.4,1,90
23-04-2020,12,153,38.4,1,91
24-04-2020,8,153,38.4,1,92
25-04-2020,15,153,38.4,1,93
26-04-2020,10,153,38.4,1,94
27-04-2020,290,153,38.4,1,95
