date,Germany,Population density,median age of germany,Lockdown status,Lockdown days
31-12-2019,0,232,45.9,0,0
01-01-2020,0,232,45.9,0,0
02-01-2020,0,232,45.9,0,0
03-01-2020,0,232,45.9,0,0
04-01-2020,0,232,45.9,0,0
05-01-2020,0,232,45.9,0,0
06-01-2020,0,232,45.9,0,0
07-01-2020,0,232,45.9,0,0
08-01-2020,0,232,45.9,0,0
09-01-2020,0,232,45.9,0,0
10-01-2020,0,232,45.9,0,0
11-01-2020,0,232,45.9,0,0
12-01-2020,0,232,45.9,0,0
13-01-2020,0,232,45.9,0,0
14-01-2020,0,232,45.9,0,0
15-01-2020,0,232,45.9,0,0
16-01-2020,0,232,45.9,0,0
17-01-2020,0,232,45.9,0,0
18-01-2020,0,232,45.9,0,0
19-01-2020,0,232,45.9,0,0
20-01-2020,0,232,45.9,0,0
21-01-2020,0,232,45.9,0,0
22-01-2020,0,232,45.9,0,0
23-01-2020,0,232,45.9,0,0
24-01-2020,0,232,45.9,0,0
25-01-2020,0,232,45.9,0,0
26-01-2020,0,232,45.9,0,0
27-01-2020,0,232,45.9,0,0
28-01-2020,1,232,45.9,0,0
29-01-2020,3,232,45.9,0,0
30-01-2020,0,232,45.9,0,0
31-01-2020,1,232,45.9,0,0
01-02-2020,2,232,45.9,0,0
02-02-2020,1,232,45.9,0,0
03-02-2020,1,232,45.9,0,0
04-02-2020,2,232,45.9,0,0
05-02-2020,0,232,45.9,0,0
06-02-2020,0,232,45.9,0,0
07-02-2020,1,232,45.9,0,0
08-02-2020,1,232,45.9,0,0
09-02-2020,0,232,45.9,0,0
10-02-2020,0,232,45.9,0,0
11-02-2020,0,232,45.9,0,0
12-02-2020,2,232,45.9,0,0
13-02-2020,0,232,45.9,0,0
14-02-2020,0,232,45.9,0,0
15-02-2020,0,232,45.9,0,0
16-02-2020,0,232,45.9,0,0
17-02-2020,0,232,45.9,0,0
18-02-2020,0,232,45.9,0,0
19-02-2020,0,232,45.9,0,0
20-02-2020,0,232,45.9,0,0
21-02-2020,0,232,45.9,0,0
22-02-2020,0,232,45.9,0,0
23-02-2020,0,232,45.9,0,0
24-02-2020,0,232,45.9,0,0
25-02-2020,0,232,45.9,0,0
26-02-2020,2,232,45.9,0,0
27-02-2020,4,232,45.9,0,0
28-02-2020,26,232,45.9,0,0
29-02-2020,10,232,45.9,0,0
01-03-2020,54,232,45.9,0,0
02-03-2020,18,232,45.9,0,0
03-03-2020,28,232,45.9,0,0
04-03-2020,39,232,45.9,0,0
05-03-2020,66,232,45.9,0,0
06-03-2020,138,232,45.9,0,0
07-03-2020,284,232,45.9,0,0
08-03-2020,163,232,45.9,0,0
09-03-2020,55,232,45.9,0,0
10-03-2020,237,232,45.9,0,0
11-03-2020,157,232,45.9,0,0
12-03-2020,271,232,45.9,0,0
13-03-2020,802,232,45.9,0,0
14-03-2020,693,232,45.9,0,0
15-03-2020,733,232,45.9,0,0
16-03-2020,1043,232,45.9,0,0
17-03-2020,1174,232,45.9,0,0
18-03-2020,1144,232,45.9,0,0
19-03-2020,1042,232,45.9,0,0
20-03-2020,5940,232,45.9,0,0
21-03-2020,4049,232,45.9,0,0
22-03-2020,3276,232,45.9,0,0
23-03-2020,3311,232,45.9,1,1
24-03-2020,4438,232,45.9,1,2
25-03-2020,2342,232,45.9,1,3
26-03-2020,4954,232,45.9,1,4
27-03-2020,5780,232,45.9,1,5
28-03-2020,6294,232,45.9,1,6
29-03-2020,3965,232,45.9,1,7
30-03-2020,4751,232,45.9,1,8
31-03-2020,4615,232,45.9,1,9
01-04-2020,5453,232,45.9,1,10
02-04-2020,6156,232,45.9,1,11
03-04-2020,6174,232,45.9,1,12
04-04-2020,6082,232,45.9,1,13
05-04-2020,5936,232,45.9,1,14
06-04-2020,3677,232,45.9,1,15
07-04-2020,3834,232,45.9,1,16
08-04-2020,4003,232,45.9,1,17
09-04-2020,4974,232,45.9,1,18
10-04-2020,5323,232,45.9,1,19
11-04-2020,4133,232,45.9,1,20
12-04-2020,2821,232,45.9,1,21
13-04-2020,2537,232,45.9,1,22
14-04-2020,2082,232,45.9,1,23
15-04-2020,2486,232,45.9,1,24
16-04-2020,2866,232,45.9,1,25
17-04-2020,3380,232,45.9,1,26
18-04-2020,3609,232,45.9,1,27
19-04-2020,2458,232,45.9,1,28
20-04-2020,1775,232,45.9,1,29
21-04-2020,1785,232,45.9,1,30
22-04-2020,2237,232,45.9,1,31
23-04-2020,2352,232,45.9,1,32
24-04-2020,2337,232,45.9,1,33
25-04-2020,2055,232,45.9,1,34
26-04-2020,1737,232,45.9,1,35
27-04-2020,1018,232,45.9,1,36
