date,Iran,Population density,Median age,Lockdown status,Lock down days
31-12-2019,0,52,32,0,0
01-01-2020,0,52,32,0,0
02-01-2020,0,52,32,0,0
03-01-2020,0,52,32,0,0
04-01-2020,0,52,32,0,0
05-01-2020,0,52,32,0,0
06-01-2020,0,52,32,0,0
07-01-2020,0,52,32,0,0
08-01-2020,0,52,32,0,0
09-01-2020,0,52,32,0,0
10-01-2020,0,52,32,0,0
11-01-2020,0,52,32,0,0
12-01-2020,0,52,32,0,0
13-01-2020,0,52,32,0,0
14-01-2020,0,52,32,0,0
15-01-2020,0,52,32,0,0
16-01-2020,0,52,32,0,0
17-01-2020,0,52,32,0,0
18-01-2020,0,52,32,0,0
19-01-2020,0,52,32,0,0
20-01-2020,0,52,32,0,0
21-01-2020,0,52,32,0,0
22-01-2020,0,52,32,0,0
23-01-2020,0,52,32,0,0
24-01-2020,0,52,32,0,0
25-01-2020,0,52,32,0,0
26-01-2020,0,52,32,0,0
27-01-2020,0,52,32,0,0
28-01-2020,0,52,32,0,0
29-01-2020,0,52,32,0,0
30-01-2020,0,52,32,0,0
31-01-2020,0,52,32,0,0
01-02-2020,0,52,32,0,0
02-02-2020,0,52,32,0,0
03-02-2020,0,52,32,0,0
04-02-2020,0,52,32,0,0
05-02-2020,0,52,32,0,0
06-02-2020,0,52,32,0,0
07-02-2020,0,52,32,0,0
08-02-2020,0,52,32,0,0
09-02-2020,0,52,32,0,0
10-02-2020,0,52,32,0,0
11-02-2020,0,52,32,0,0
12-02-2020,0,52,32,0,0
13-02-2020,0,52,32,0,0
14-02-2020,0,52,32,0,0
15-02-2020,0,52,32,0,0
16-02-2020,0,52,32,0,0
17-02-2020,0,52,32,0,0
18-02-2020,0,52,32,0,0
19-02-2020,0,52,32,0,0
20-02-2020,2,52,32,0,0
21-02-2020,3,52,32,0,0
22-02-2020,13,52,32,0,0
23-02-2020,10,52,32,0,0
24-02-2020,15,52,32,0,0
25-02-2020,18,52,32,0,0
26-02-2020,34,52,32,0,0
27-02-2020,44,52,32,0,0
28-02-2020,106,52,32,0,0
29-02-2020,143,52,32,0,0
01-03-2020,205,52,32,0,0
02-03-2020,385,52,32,0,0
03-03-2020,523,52,32,0,0
04-03-2020,835,52,32,0,0
05-03-2020,586,52,32,0,0
06-03-2020,591,52,32,0,0
07-03-2020,1234,52,32,0,0
08-03-2020,1076,52,32,0,0
09-03-2020,743,52,32,0,0
10-03-2020,595,52,32,0,0
11-03-2020,881,52,32,0,0
12-03-2020,958,52,32,0,0
13-03-2020,1075,52,32,0,0
14-03-2020,1289,52,32,0,0
15-03-2020,1365,52,32,0,0
16-03-2020,1209,52,32,0,0
17-03-2020,1053,52,32,0,0
18-03-2020,1178,52,32,0,0
19-03-2020,1192,52,32,1,1
20-03-2020,1046,52,32,1,2
21-03-2020,1237,52,32,1,3
22-03-2020,966,52,32,1,4
23-03-2020,1028,52,32,1,5
24-03-2020,1411,52,32,1,6
25-03-2020,1762,52,32,1,7
26-03-2020,2206,52,32,1,8
27-03-2020,2389,52,32,1,9
28-03-2020,2926,52,32,1,10
29-03-2020,3076,52,32,1,11
30-03-2020,2901,52,32,1,12
31-03-2020,3186,52,32,1,13
01-04-2020,3111,52,32,1,14
02-04-2020,2987,52,32,1,15
03-04-2020,2875,52,32,1,16
04-04-2020,0,52,32,1,17
05-04-2020,5275,52,32,1,18
06-04-2020,2483,52,32,1,19
07-04-2020,2274,52,32,1,20
08-04-2020,2089,52,32,1,21
09-04-2020,1997,52,32,1,22
10-04-2020,1634,52,32,1,23
11-04-2020,1972,52,32,1,24
12-04-2020,1837,52,32,1,25
13-04-2020,1657,52,32,1,26
14-04-2020,1617,52,32,1,27
15-04-2020,1574,52,32,1,28
16-04-2020,1512,52,32,1,29
17-04-2020,1606,52,32,1,30
18-04-2020,1499,52,32,1,31
19-04-2020,1374,52,32,1,32
20-04-2020,1343,52,32,1,33
21-04-2020,1294,52,32,1,34
22-04-2020,1297,52,32,1,35
23-04-2020,1194,52,32,1,36
24-04-2020,1030,52,32,1,37
25-04-2020,1168,52,32,1,38
26-04-2020,1134,52,32,1,39
27-04-2020,1153,52,32,1,40
