date,New Zealand,pop dens,Median age,Lockdown status,
31-12-2019,0,46,37.3,0,0
01-01-2020,0,46,37.3,0,0
02-01-2020,0,46,37.3,0,0
03-01-2020,0,46,37.3,0,0
04-01-2020,0,46,37.3,0,0
05-01-2020,0,46,37.3,0,0
06-01-2020,0,46,37.3,0,0
07-01-2020,0,46,37.3,0,0
08-01-2020,0,46,37.3,0,0
09-01-2020,0,46,37.3,0,0
10-01-2020,0,46,37.3,0,0
11-01-2020,0,46,37.3,0,0
12-01-2020,0,46,37.3,0,0
13-01-2020,0,46,37.3,0,0
14-01-2020,0,46,37.3,0,0
15-01-2020,0,46,37.3,0,0
16-01-2020,0,46,37.3,0,0
17-01-2020,0,46,37.3,0,0
18-01-2020,0,46,37.3,0,0
19-01-2020,0,46,37.3,0,0
20-01-2020,0,46,37.3,0,0
21-01-2020,0,46,37.3,0,0
22-01-2020,0,46,37.3,0,0
23-01-2020,0,46,37.3,0,0
24-01-2020,0,46,37.3,0,0
25-01-2020,0,46,37.3,0,0
26-01-2020,0,46,37.3,0,0
27-01-2020,0,46,37.3,0,0
28-01-2020,0,46,37.3,0,0
29-01-2020,0,46,37.3,0,0
30-01-2020,0,46,37.3,0,0
31-01-2020,0,46,37.3,0,0
01-02-2020,0,46,37.3,0,0
02-02-2020,0,46,37.3,0,0
03-02-2020,0,46,37.3,0,0
04-02-2020,0,46,37.3,0,0
05-02-2020,0,46,37.3,0,0
06-02-2020,0,46,37.3,0,0
07-02-2020,0,46,37.3,0,0
08-02-2020,0,46,37.3,0,0
09-02-2020,0,46,37.3,0,0
10-02-2020,0,46,37.3,0,0
11-02-2020,0,46,37.3,0,0
12-02-2020,0,46,37.3,0,0
13-02-2020,0,46,37.3,0,0
14-02-2020,0,46,37.3,0,0
15-02-2020,0,46,37.3,0,0
16-02-2020,0,46,37.3,0,0
17-02-2020,0,46,37.3,0,0
18-02-2020,0,46,37.3,0,0
19-02-2020,0,46,37.3,0,0
20-02-2020,0,46,37.3,0,0
21-02-2020,0,46,37.3,0,0
22-02-2020,0,46,37.3,0,0
23-02-2020,0,46,37.3,0,0
24-02-2020,0,46,37.3,0,0
25-02-2020,0,46,37.3,0,0
26-02-2020,0,46,37.3,0,0
27-02-2020,0,46,37.3,0,0
28-02-2020,1,46,37.3,0,0
29-02-2020,0,46,37.3,0,0
01-03-2020,0,46,37.3,0,0
02-03-2020,0,46,37.3,0,0
03-03-2020,2,46,37.3,0,0
04-03-2020,1,46,37.3,0,0
05-03-2020,1,46,37.3,0,0
06-03-2020,1,46,37.3,0,0
07-03-2020,1,46,37.3,0,0
08-03-2020,2,46,37.3,0,0
09-03-2020,2,46,37.3,0,0
10-03-2020,1,46,37.3,0,0
11-03-2020,3,46,37.3,0,0
12-03-2020,2,46,37.3,0,0
13-03-2020,2,46,37.3,0,0
14-03-2020,1,46,37.3,0,0
15-03-2020,2,46,37.3,0,0
16-03-2020,1,46,37.3,1,1
17-03-2020,2,46,37.3,1,2
18-03-2020,12,46,37.3,1,3
19-03-2020,8,46,37.3,1,4
20-03-2020,11,46,37.3,1,5
21-03-2020,14,46,37.3,1,6
22-03-2020,13,46,37.3,1,7
23-03-2020,36,46,37.3,1,8
24-03-2020,40,46,37.3,1,9
25-03-2020,47,46,37.3,1,10
26-03-2020,73,46,37.3,1,11
27-03-2020,76,46,37.3,1,12
28-03-2020,78,46,37.3,1,13
29-03-2020,60,46,37.3,1,14
30-03-2020,76,46,37.3,1,15
31-03-2020,95,46,37.3,1,16
01-04-2020,0,46,37.3,1,17
02-04-2020,76,46,37.3,1,18
03-04-2020,49,46,37.3,1,19
04-04-2020,52,46,37.3,1,20
05-04-2020,48,46,37.3,1,21
06-04-2020,39,46,37.3,1,22
07-04-2020,32,46,37.3,1,23
08-04-2020,26,46,37.3,1,24
09-04-2020,23,46,37.3,1,25
10-04-2020,23,46,37.3,1,26
11-04-2020,20,46,37.3,1,27
12-04-2020,14,46,37.3,1,28
13-04-2020,15,46,37.3,1,29
14-04-2020,8,46,37.3,1,30
15-04-2020,6,46,37.3,1,31
16-04-2020,6,46,37.3,1,32
17-04-2020,2,46,37.3,1,33
18-04-2020,8,46,37.3,1,34
19-04-2020,4,46,37.3,1,35
20-04-2020,7,46,37.3,1,36
21-04-2020,2,46,37.3,1,37
22-04-2020,5,46,37.3,1,38
23-04-2020,0,46,37.3,1,39
24-04-2020,2,46,37.3,1,40
25-04-2020,3,46,37.3,1,41
26-04-2020,4,46,37.3,1,42
27-04-2020,1,46,37.3,1,43
