date,Spain,population density,median age,Lockdown status,Lockdown days
31-12-2019,0,94,44.9,0,0
01-01-2020,0,94,44.9,0,0
02-01-2020,0,94,44.9,0,0
03-01-2020,0,94,44.9,0,0
04-01-2020,0,94,44.9,0,0
05-01-2020,0,94,44.9,0,0
06-01-2020,0,94,44.9,0,0
07-01-2020,0,94,44.9,0,0
08-01-2020,0,94,44.9,0,0
09-01-2020,0,94,44.9,0,0
10-01-2020,0,94,44.9,0,0
11-01-2020,0,94,44.9,0,0
12-01-2020,0,94,44.9,0,0
13-01-2020,0,94,44.9,0,0
14-01-2020,0,94,44.9,0,0
15-01-2020,0,94,44.9,0,0
16-01-2020,0,94,44.9,0,0
17-01-2020,0,94,44.9,0,0
18-01-2020,0,94,44.9,0,0
19-01-2020,0,94,44.9,0,0
20-01-2020,0,94,44.9,0,0
21-01-2020,0,94,44.9,0,0
22-01-2020,0,94,44.9,0,0
23-01-2020,0,94,44.9,0,0
24-01-2020,0,94,44.9,0,0
25-01-2020,0,94,44.9,0,0
26-01-2020,0,94,44.9,0,0
27-01-2020,0,94,44.9,0,0
28-01-2020,0,94,44.9,0,0
29-01-2020,0,94,44.9,0,0
30-01-2020,0,94,44.9,0,0
31-01-2020,0,94,44.9,0,0
01-02-2020,1,94,44.9,0,0
02-02-2020,0,94,44.9,0,0
03-02-2020,0,94,44.9,0,0
04-02-2020,0,94,44.9,0,0
05-02-2020,0,94,44.9,0,0
06-02-2020,0,94,44.9,0,0
07-02-2020,0,94,44.9,0,0
08-02-2020,0,94,44.9,0,0
09-02-2020,0,94,44.9,0,0
10-02-2020,1,94,44.9,0,0
11-02-2020,0,94,44.9,0,0
12-02-2020,0,94,44.9,0,0
13-02-2020,0,94,44.9,0,0
14-02-2020,0,94,44.9,0,0
15-02-2020,0,94,44.9,0,0
16-02-2020,0,94,44.9,0,0
17-02-2020,0,94,44.9,0,0
18-02-2020,0,94,44.9,0,0
19-02-2020,0,94,44.9,0,0
20-02-2020,0,94,44.9,0,0
21-02-2020,0,94,44.9,0,0
22-02-2020,0,94,44.9,0,0
23-02-2020,0,94,44.9,0,0
24-02-2020,0,94,44.9,0,0
25-02-2020,1,94,44.9,0,0
26-02-2020,4,94,44.9,0,0
27-02-2020,5,94,44.9,0,0
28-02-2020,13,94,44.9,0,0
29-02-2020,9,94,44.9,0,0
01-03-2020,32,94,44.9,0,0
02-03-2020,17,94,44.9,0,0
03-03-2020,31,94,44.9,0,0
04-03-2020,37,94,44.9,0,0
05-03-2020,49,94,44.9,0,0
06-03-2020,61,94,44.9,0,0
07-03-2020,113,94,44.9,0,0
08-03-2020,56,94,44.9,0,0
09-03-2020,159,94,44.9,0,0
10-03-2020,615,94,44.9,0,0
11-03-2020,435,94,44.9,0,0
12-03-2020,501,94,44.9,0,0
13-03-2020,864,94,44.9,0,0
14-03-2020,1227,94,44.9,0,0
15-03-2020,1522,94,44.9,1,1
16-03-2020,2000,94,44.9,1,2
17-03-2020,1438,94,44.9,1,3
18-03-2020,1987,94,44.9,1,4
19-03-2020,2538,94,44.9,1,5
20-03-2020,3431,94,44.9,1,6
21-03-2020,2833,94,44.9,1,7
22-03-2020,4946,94,44.9,1,8
23-03-2020,3646,94,44.9,1,9
24-03-2020,4517,94,44.9,1,10
25-03-2020,6584,94,44.9,1,11
26-03-2020,7937,94,44.9,1,12
27-03-2020,8578,94,44.9,1,13
28-03-2020,7871,94,44.9,1,14
29-03-2020,8189,94,44.9,1,15
30-03-2020,6549,94,44.9,1,16
31-03-2020,6398,94,44.9,1,17
01-04-2020,9222,94,44.9,1,18
02-04-2020,7719,94,44.9,1,19
03-04-2020,8102,94,44.9,1,20
04-04-2020,7472,94,44.9,1,21
05-04-2020,7026,94,44.9,1,22
06-04-2020,6023,94,44.9,1,23
07-04-2020,4273,94,44.9,1,24
08-04-2020,5478,94,44.9,1,25
09-04-2020,6180,94,44.9,1,26
10-04-2020,5756,94,44.9,1,27
11-04-2020,4576,94,44.9,1,28
12-04-2020,4830,94,44.9,1,29
13-04-2020,4167,94,44.9,1,30
14-04-2020,3477,94,44.9,1,31
15-04-2020,7968,94,44.9,1,32
16-04-2020,4040,94,44.9,1,33
17-04-2020,4400,94,44.9,1,34
18-04-2020,4104,94,44.9,1,35
19-04-2020,4104,94,44.9,1,36
20-04-2020,2585,94,44.9,1,37
21-04-2020,3352,94,44.9,1,38
22-04-2020,2627,94,44.9,1,39
23-04-2020,3052,94,44.9,1,40
24-04-2020,2767,94,44.9,1,41
25-04-2020,2944,94,44.9,1,42
26-04-2020,1729,94,44.9,1,43
27-04-2020,1831,94,44.9,1,44
